Benchmark,Result,Time (seconds)
archimedes, SUCCESS, 2.113
berkeley, SUCCESS, 21.745
closest_cube_root, SUCCESS, 39.385
closest_square_root, SUCCESS, 8.853
cohendiv, SUCCESS, 60.011
consecutive_cubes, SUCCESS, 60.020
dijkstra_ind, SUCCESS, 60.171
dijsktra, SUCCESS, 18.520
euclidex1, SUCCESS, 60.012
euclidex2, SUCCESS, 60.013
fermat1, SUCCESS, 49.163
fermat2_ind, SUCCESS, 23.814
firefly, SUCCESS, 60.069
floor_square_root, SUCCESS, 36.021
friction, SUCCESS, 1.814
illinois, SUCCESS, 60.016
lcm1, SUCCESS, 31.539
mannadiv_Carre, SUCCESS, 12.777
mannadiv_Cube, SUCCESS, 14.631
mannadiv_ind, SUCCESS, 18.813
mesi, SUCCESS, 60.028
moesi, SUCCESS, 60.222
petter10, SUCCESS, 60.078
petter3, SUCCESS, 8.889
petter5, SUCCESS, 4.846
polynomial_approx, SUCCESS, 1.173
positive_square_with_holes, SUCCESS, .691
positive_square_with_number_holes, SUCCESS, .711
readerswriters, SUCCESS, 60.053
square_roots, SUCCESS, 47.546
wensley_division, SUCCESS, 60.013
